Country,Seeds,Hops,Coverage_%,Discovered,TTFI_s
UK,100,2,0.68,57285,10.44
UK,100,3,12.64,1061750,10.44
UK,1000,2,6.82,572857,8.32
UK,1000,3,100.0,10617500,8.32
UK,5000,2,34.1,2864285,6.84
UK,5000,3,100.0,53087500,6.84
UK,50000,2,100.0,28642857,4.72
UK,50000,3,100.0,530875000,4.72
SE,10,2,0.38,5728,10.97
SE,10,3,7.08,106175,10.97
SE,100,2,3.82,57285,8.85
SE,100,3,70.78,1061750,8.85
SE,500,2,19.1,286428,7.37
SE,500,3,100.0,5308750,7.37
SE,1000,2,38.19,572857,6.73
SE,1000,3,100.0,10617500,6.73
SE,5000,2,100.0,2864285,5.26
SE,5000,3,100.0,53087500,5.26
